,Action,Base Action,Number,Rate
0,Idle 1,0,16,27.59
1,Idle 1,1,0,0.0
2,Idle 1,2,1,1.72
3,Idle 1,3,5,8.62
4,Idle 1,4,36,62.07
5,Go straight 1,0,10,19.23
6,Go straight 1,1,2,3.85
7,Go straight 1,2,11,21.15
8,Go straight 1,3,12,23.08
9,Go straight 1,4,17,32.69
10,Turn right 1,0,10,13.7
11,Turn right 1,1,1,1.37
12,Turn right 1,2,25,34.25
13,Turn right 1,3,25,34.25
14,Turn right 1,4,12,16.44
15,Trun left 1,0,7,9.33
16,Trun left 1,1,3,4.0
17,Trun left 1,2,28,37.33
18,Trun left 1,3,12,16.0
19,Trun left 1,4,25,33.33
20,Two-stage left turn 1,0,42,42.42
21,Two-stage left turn 1,1,0,0.0
22,Two-stage left turn 1,2,11,11.11
23,Two-stage left turn 1,3,6,6.06
24,Two-stage left turn 1,4,40,40.4
25,Idle 2,0,26,37.14
26,Idle 2,1,0,0.0
27,Idle 2,2,16,22.86
28,Idle 2,3,9,12.86
29,Idle 2,4,19,27.14
30,Go straight 2,0,18,32.14
31,Go straight 2,1,4,7.14
32,Go straight 2,2,11,19.64
33,Go straight 2,3,13,23.21
34,Go straight 2,4,10,17.86
35,Turn right 2,0,9,13.43
36,Turn right 2,1,1,1.49
37,Turn right 2,2,31,46.27
38,Turn right 2,3,18,26.87
39,Turn right 2,4,8,11.94
40,Turn left 2,0,7,8.97
41,Turn left 2,1,4,5.13
42,Turn left 2,2,22,28.21
43,Turn left 2,3,22,28.21
44,Turn left 2,4,23,29.49
45,Two-stage left turn 2,0,26,29.89
46,Two-stage left turn 2,1,0,0.0
47,Two-stage left turn 2,2,20,22.99
48,Two-stage left turn 2,3,5,5.75
49,Two-stage left turn 2,4,36,41.38
50,U-trun 1,0,22,30.99
51,U-trun 1,1,0,0.0
52,U-trun 1,2,12,16.9
53,U-trun 1,3,18,25.35
54,U-trun 1,4,19,26.76
55,U-turn 2,0,18,22.22
56,U-turn 2,1,4,4.94
57,U-turn 2,2,19,23.46
58,U-turn 2,3,23,28.4
59,U-turn 2,4,17,20.99
